epoch,train_loss,val_loss,val_mae_K,val_rmse_K,lr
1,0.061264,0.038142,13.1464,17.0703,1.00e-03
2,0.020530,0.035851,11.9100,16.9334,1.00e-03
3,0.016463,0.215172,44.9894,50.2065,9.99e-04
4,0.014731,0.019865,7.1276,11.9407,9.99e-04
5,0.013896,0.016773,6.3447,10.5249,9.98e-04
6,0.013107,0.016490,6.2127,10.4730,9.98e-04
7,0.012315,0.014179,5.5755,9.3554,9.97e-04
8,0.011747,0.033065,10.8094,16.3828,9.96e-04
9,0.011579,0.014668,5.5912,9.7903,9.95e-04
10,0.011388,0.014054,5.3459,9.5914,9.94e-04
11,0.011109,0.058793,17.8998,22.7786,9.93e-04
12,0.010373,0.034159,11.1067,16.6804,9.91e-04
13,0.010275,0.042761,13.9797,18.6440,9.90e-04
14,0.009894,0.014351,5.7199,9.2786,9.88e-04
15,0.009871,0.094526,25.1649,30.7141,9.86e-04
16,0.009476,0.013798,5.4743,9.1299,9.84e-04
17,0.009310,0.017130,6.8068,10.1779,9.82e-04
18,0.009169,0.030851,10.8895,15.0883,9.80e-04
19,0.008970,0.013274,5.2706,8.9602,9.78e-04
20,0.008739,0.012136,4.7417,8.6958,9.76e-04
21,0.008560,0.010758,4.2332,8.1323,9.73e-04
22,0.008194,0.015279,6.0736,9.6229,9.71e-04
23,0.008071,0.013734,5.4830,9.0804,9.68e-04
24,0.008006,0.012205,4.8076,8.6719,9.65e-04
25,0.007732,0.014311,5.5583,9.5003,9.62e-04
26,0.007530,0.013208,5.0623,9.2259,9.59e-04
27,0.007257,0.026708,9.5817,13.8769,9.56e-04
28,0.007503,0.015103,5.9633,9.6266,9.53e-04
29,0.007051,0.011413,4.4426,8.4428,9.50e-04
30,0.007190,0.011192,4.3974,8.3138,9.46e-04
31,0.006631,0.046560,15.1427,19.5690,9.42e-04
32,0.006968,0.024710,9.0910,13.0837,9.39e-04
33,0.006959,0.011584,4.4957,8.5522,9.35e-04
34,0.006530,0.012006,4.6864,8.6779,9.31e-04
35,0.006461,0.016720,6.4462,10.3491,9.27e-04
36,0.005969,0.013548,5.0966,9.4991,9.23e-04
37,0.006106,0.011338,4.4381,8.4004,9.19e-04
