epoch,train_loss,val_loss,val_mae_K,val_rmse_K,lr
1,0.023632,0.017831,7.1573,10.1512,1.00e-03
2,0.018729,0.024655,9.7046,12.3015,1.00e-03
3,0.017974,0.089308,25.3556,29.0330,9.99e-04
4,0.016660,0.152147,35.1617,40.9086,9.99e-04
5,0.016074,0.107052,27.4886,33.0669,9.98e-04
6,0.015569,0.102812,25.7822,32.6407,9.98e-04
7,0.014009,0.097179,25.6473,31.1896,9.97e-04
8,0.014525,0.105819,27.1477,32.8972,9.96e-04
9,0.014619,0.120729,29.0651,35.9123,9.95e-04
10,0.014088,0.033209,12.0189,15.3458,9.94e-04
11,0.013561,0.175274,37.8986,44.7930,9.93e-04
12,0.013173,0.058666,18.0118,22.6328,9.91e-04
13,0.012603,0.063054,18.6147,23.8845,9.90e-04
14,0.012382,0.052425,16.8871,20.8413,9.88e-04
15,0.012273,0.026628,9.3652,13.8497,9.86e-04
16,0.012117,0.063467,18.3167,24.1837,9.84e-04
17,0.011530,0.121502,28.3194,36.3869,9.82e-04
18,0.011856,0.059637,18.0080,22.9764,9.80e-04
19,0.011849,0.070864,19.5636,26.0547,9.78e-04
20,0.011354,0.039089,13.3695,17.3265,9.76e-04
21,0.011695,0.020073,7.7546,11.1710,9.73e-04
22,0.011300,0.155774,34.3645,41.9715,9.71e-04
23,0.011356,0.023059,8.3743,12.5653,9.68e-04
24,0.010962,0.026138,8.9272,14.0181,9.65e-04
25,0.011124,0.093181,24.3934,30.6255,9.62e-04
26,0.010513,0.193345,40.1511,47.5669,9.59e-04
27,0.010125,0.043283,13.5010,19.1805,9.56e-04
28,0.010048,0.022598,8.6049,12.0346,9.53e-04
29,0.010085,0.032090,10.9452,15.5641,9.50e-04
30,0.009481,0.042689,13.7125,18.7410,9.46e-04
31,0.009771,0.053289,16.6261,21.3153,9.42e-04
32,0.009286,0.026807,9.9558,13.4058,9.39e-04
33,0.008977,0.031255,10.6267,15.4023,9.35e-04
34,0.009029,0.027240,9.6213,13.9692,9.31e-04
35,0.009132,0.019772,7.7136,11.0463,9.27e-04
36,0.008736,0.026379,9.8257,13.3580,9.23e-04
37,0.008708,0.024320,9.3119,12.4626,9.19e-04
38,0.008278,0.036799,12.9496,16.4649,9.14e-04
39,0.008305,0.035621,11.6430,16.8844,9.10e-04
40,0.008410,0.020087,7.5482,11.4175,9.05e-04
41,0.007995,0.025887,9.4077,13.3681,9.01e-04
