epoch,train_loss,val_loss,val_mae_K,val_rmse_K,lr
1,0.013266,0.009048,4.3727,5.6186,1.00e-03
2,0.007142,0.004847,2.4890,3.5321,1.00e-03
3,0.005973,0.005772,2.9208,4.0207,9.99e-04
4,0.006120,0.005753,2.9703,3.7902,9.99e-04
5,0.005591,0.006743,3.3523,4.5571,9.98e-04
6,0.005662,0.008148,3.8239,5.6334,9.98e-04
7,0.005448,0.004755,2.4619,3.4110,9.97e-04
8,0.004986,0.004034,2.1404,2.8908,9.96e-04
9,0.005180,0.003984,2.0993,2.9350,9.95e-04
10,0.005485,0.006071,3.0912,4.0552,9.94e-04
11,0.005012,0.003737,1.9717,2.8380,9.93e-04
12,0.004914,0.004487,2.3500,3.1912,9.91e-04
13,0.004612,0.002660,1.4271,2.2336,9.90e-04
14,0.005161,0.003192,1.6998,2.5288,9.88e-04
15,0.004859,0.007623,3.4927,5.6841,9.86e-04
16,0.004244,0.004871,2.3911,3.9771,9.84e-04
17,0.004610,0.006315,2.9817,4.9026,9.82e-04
18,0.004665,0.003674,1.9149,2.9413,9.80e-04
19,0.004285,0.007800,3.5476,5.8142,9.78e-04
20,0.004842,0.004047,2.0290,3.4507,9.76e-04
21,0.004453,0.004033,2.1149,3.0091,9.73e-04
22,0.004453,0.005887,2.8734,4.4343,9.71e-04
23,0.003936,0.002815,1.4897,2.4444,9.68e-04
24,0.004345,0.003468,1.7695,3.0503,9.65e-04
25,0.004051,0.003733,1.9252,3.0604,9.62e-04
26,0.004196,0.003065,1.6274,2.5000,9.59e-04
27,0.004150,0.003822,2.0165,2.8760,9.56e-04
28,0.004153,0.003164,1.6793,2.5437,9.53e-04
29,0.004099,0.004573,2.2905,3.6719,9.50e-04
30,0.004371,0.003978,2.0604,3.1094,9.46e-04
31,0.004189,0.002830,1.5364,2.1902,9.42e-04
32,0.004047,0.003394,1.7871,2.7260,9.39e-04
33,0.003949,0.002497,1.3543,2.0647,9.35e-04
34,0.003758,0.002272,1.2188,2.0623,9.31e-04
35,0.003674,0.002930,1.5730,2.3522,9.27e-04
36,0.003806,0.002523,1.3611,2.1281,9.23e-04
37,0.003969,0.003055,1.6440,2.3754,9.19e-04
38,0.003573,0.002802,1.5041,2.2949,9.14e-04
39,0.003621,0.002503,1.3393,2.1944,9.10e-04
40,0.003811,0.002495,1.3302,2.2192,9.05e-04
41,0.003667,0.002992,1.6172,2.3003,9.01e-04
42,0.004003,0.002561,1.3797,2.1598,8.96e-04
43,0.003842,0.003465,1.7727,3.0190,8.91e-04
44,0.003681,0.003310,1.7775,2.4970,8.86e-04
45,0.003907,0.002205,1.1996,1.9113,8.81e-04
46,0.003630,0.002633,1.3978,2.3179,8.76e-04
47,0.003513,0.003155,1.6841,2.4884,8.71e-04
48,0.003466,0.003235,1.7238,2.5415,8.66e-04
49,0.003441,0.001994,1.0929,1.7546,8.60e-04
50,0.003541,0.002820,1.5045,2.3608,8.55e-04
51,0.003420,0.004005,2.1238,2.8834,8.49e-04
52,0.003358,0.002753,1.4952,2.1615,8.44e-04
53,0.003414,0.002110,1.1604,1.7678,8.38e-04
54,0.003595,0.003618,1.9339,2.6505,8.32e-04
55,0.003133,0.002190,1.1938,1.8856,8.26e-04
56,0.003094,0.002299,1.2355,2.0626,8.21e-04
57,0.003540,0.002877,1.5345,2.3949,8.14e-04
58,0.003345,0.002586,1.3926,2.1658,8.08e-04
59,0.003344,0.002174,1.1924,1.8265,8.02e-04
60,0.003258,0.002979,1.5236,2.8040,7.96e-04
61,0.002936,0.003234,1.7063,2.6429,7.90e-04
62,0.003000,0.002387,1.3023,1.9606,7.83e-04
63,0.003050,0.001681,0.9231,1.5876,7.77e-04
64,0.003065,0.002813,1.5346,2.1377,7.70e-04
65,0.003190,0.002424,1.3228,1.9776,7.64e-04
66,0.002914,0.002506,1.3448,2.1633,7.57e-04
67,0.002957,0.002173,1.1771,1.9329,7.50e-04
68,0.002866,0.002227,1.2134,1.9057,7.43e-04
69,0.002903,0.002604,1.4090,2.1323,7.37e-04
70,0.002742,0.002567,1.3999,2.0372,7.30e-04
71,0.002777,0.002298,1.2397,2.0400,7.23e-04
72,0.002960,0.001953,1.0747,1.6964,7.16e-04
73,0.002721,0.002305,1.2189,2.2086,7.09e-04
74,0.002603,0.003746,1.8856,3.2781,7.02e-04
75,0.002620,0.002094,1.1386,1.8723,6.94e-04
76,0.002657,0.002874,1.5729,2.1180,6.87e-04
77,0.002704,0.001885,1.0194,1.8204,6.80e-04
78,0.002760,0.003082,1.6824,2.2257,6.73e-04
79,0.002498,0.002752,1.4984,2.1298,6.65e-04
80,0.002915,0.002770,1.4879,2.2703,6.58e-04
81,0.002885,0.002131,1.1718,1.7824,6.51e-04
82,0.002608,0.001858,1.0175,1.6930,6.43e-04
83,0.002442,0.002121,1.1619,1.8132,6.36e-04
84,0.002641,0.002496,1.3489,2.0975,6.28e-04
85,0.002506,0.002166,1.1896,1.8058,6.21e-04
86,0.002514,0.001629,0.8985,1.5294,6.13e-04
87,0.002187,0.002178,1.2084,1.7112,6.05e-04
88,0.002439,0.002804,1.5264,2.1493,5.98e-04
89,0.002545,0.002117,1.1660,1.7574,5.90e-04
90,0.002584,0.001759,0.9719,1.5728,5.82e-04
91,0.002582,0.002005,1.0811,1.8987,5.75e-04
92,0.002419,0.001732,0.9542,1.5781,5.67e-04
93,0.002394,0.001851,1.0226,1.6169,5.59e-04
94,0.002141,0.001766,0.9598,1.7155,5.52e-04
95,0.002256,0.001842,1.0217,1.5747,5.44e-04
96,0.002088,0.001701,0.9264,1.6634,5.36e-04
97,0.002283,0.002378,1.3095,1.8623,5.28e-04
98,0.002219,0.001808,0.9687,1.8577,5.21e-04
99,0.002418,0.001756,0.9661,1.6060,5.13e-04
100,0.002313,0.001589,0.8735,1.5375,5.05e-04
101,0.001996,0.002399,1.3150,1.9224,4.97e-04
102,0.002224,0.002249,1.2059,2.0692,4.89e-04
103,0.002036,0.001737,0.9445,1.6988,4.82e-04
104,0.002144,0.001859,1.0163,1.7135,4.74e-04
105,0.002080,0.002118,1.1676,1.7485,4.66e-04
106,0.001965,0.002101,1.1538,1.7740,4.58e-04
107,0.002023,0.001941,1.0732,1.6464,4.51e-04
108,0.001784,0.001387,0.7668,1.3883,4.43e-04
109,0.001925,0.001715,0.9494,1.5338,4.35e-04
110,0.002078,0.001523,0.8378,1.4989,4.28e-04
111,0.002016,0.001613,0.8885,1.5256,4.20e-04
112,0.001967,0.001671,0.9245,1.5219,4.12e-04
113,0.001991,0.001578,0.8715,1.4921,4.05e-04
114,0.001753,0.001469,0.8166,1.3812,3.97e-04
115,0.001835,0.001757,0.9696,1.5772,3.89e-04
116,0.001867,0.001296,0.7147,1.3592,3.82e-04
117,0.001667,0.001586,0.8804,1.4477,3.74e-04
118,0.001671,0.001473,0.8126,1.4467,3.67e-04
119,0.001780,0.001469,0.8093,1.4583,3.59e-04
120,0.001900,0.001723,0.9467,1.5982,3.52e-04
121,0.001753,0.001524,0.8461,1.4215,3.45e-04
122,0.001792,0.001687,0.9376,1.4850,3.37e-04
123,0.001781,0.001773,0.9755,1.6201,3.30e-04
124,0.001766,0.001574,0.8747,1.4307,3.23e-04
125,0.001797,0.001998,1.0925,1.7748,3.16e-04
126,0.001621,0.001462,0.8044,1.4580,3.08e-04
127,0.001655,0.001327,0.7349,1.3421,3.01e-04
128,0.001599,0.001459,0.8090,1.3975,2.94e-04
129,0.001536,0.001374,0.7590,1.3871,2.87e-04
130,0.001595,0.001331,0.7387,1.3255,2.80e-04
131,0.001511,0.001584,0.8741,1.4938,2.73e-04
132,0.001717,0.001282,0.7079,1.3378,2.67e-04
133,0.001509,0.001402,0.7776,1.3637,2.60e-04
134,0.001538,0.001177,0.6508,1.2763,2.53e-04
135,0.001480,0.001404,0.7698,1.4581,2.46e-04
136,0.001497,0.001562,0.8622,1.4811,2.40e-04
137,0.001484,0.001546,0.8460,1.5455,2.33e-04
138,0.001502,0.001493,0.8294,1.3995,2.27e-04
139,0.001546,0.001307,0.7244,1.3274,2.20e-04
140,0.001488,0.001361,0.7521,1.3766,2.14e-04
141,0.001426,0.001197,0.6617,1.2841,2.08e-04
142,0.001404,0.001253,0.6941,1.3057,2.02e-04
143,0.001475,0.001202,0.6642,1.2898,1.96e-04
144,0.001432,0.001357,0.7515,1.3573,1.89e-04
145,0.001438,0.001357,0.7490,1.3777,1.84e-04
146,0.001330,0.001373,0.7594,1.3729,1.78e-04
147,0.001303,0.001289,0.7152,1.3070,1.72e-04
148,0.001362,0.001518,0.8374,1.4622,1.66e-04
149,0.001322,0.001259,0.6992,1.2867,1.61e-04
150,0.001316,0.001169,0.6449,1.2834,1.55e-04
151,0.001447,0.001145,0.6313,1.2742,1.50e-04
152,0.001261,0.001469,0.8067,1.4766,1.44e-04
153,0.001438,0.001203,0.6658,1.2849,1.39e-04
154,0.001283,0.001286,0.7099,1.3406,1.34e-04
155,0.001274,0.001143,0.6297,1.2751,1.29e-04
156,0.001258,0.001128,0.6218,1.2651,1.24e-04
157,0.001238,0.001260,0.6960,1.3242,1.19e-04
158,0.001308,0.001424,0.7924,1.3478,1.14e-04
159,0.001204,0.001410,0.7793,1.3940,1.09e-04
160,0.001225,0.001189,0.6566,1.2840,1.05e-04
161,0.001295,0.001165,0.6401,1.3104,1.00e-04
162,0.001281,0.001148,0.6327,1.2742,9.56e-05
163,0.001237,0.001195,0.6631,1.2556,9.13e-05
164,0.001307,0.001235,0.6814,1.3184,8.71e-05
165,0.001174,0.001156,0.6380,1.2709,8.29e-05
166,0.001153,0.001146,0.6331,1.2614,7.89e-05
167,0.001220,0.001231,0.6817,1.2868,7.50e-05
168,0.001151,0.001123,0.6220,1.2312,7.12e-05
169,0.001178,0.001373,0.7624,1.3419,6.75e-05
170,0.001176,0.001265,0.6982,1.3282,6.40e-05
171,0.001177,0.001173,0.6499,1.2511,6.05e-05
172,0.001162,0.001270,0.7020,1.3200,5.71e-05
173,0.001116,0.001158,0.6388,1.2759,5.39e-05
174,0.001110,0.001139,0.6300,1.2453,5.07e-05
175,0.001149,0.001246,0.6914,1.2807,4.77e-05
176,0.001158,0.001118,0.6190,1.2313,4.48e-05
177,0.001091,0.001094,0.6042,1.2310,4.20e-05
178,0.001154,0.001163,0.6438,1.2553,3.93e-05
179,0.001161,0.001294,0.7179,1.3087,3.67e-05
180,0.001163,0.001165,0.6454,1.2504,3.42e-05
181,0.001117,0.001204,0.6667,1.2725,3.19e-05
182,0.001080,0.001092,0.6041,1.2194,2.97e-05
183,0.001098,0.001185,0.6570,1.2576,2.75e-05
184,0.001091,0.001110,0.6138,1.2320,2.56e-05
185,0.001075,0.001119,0.6186,1.2381,2.37e-05
186,0.001148,0.001262,0.7004,1.2907,2.19e-05
187,0.001084,0.001187,0.6563,1.2752,2.03e-05
188,0.001060,0.001220,0.6762,1.2755,1.88e-05
189,0.001128,0.001192,0.6602,1.2664,1.74e-05
190,0.001073,0.001233,0.6837,1.2818,1.61e-05
191,0.001081,0.001138,0.6304,1.2389,1.49e-05
192,0.001074,0.001112,0.6155,1.2264,1.39e-05
193,0.001114,0.001101,0.6083,1.2318,1.30e-05
194,0.001068,0.001145,0.6334,1.2488,1.22e-05
195,0.001068,0.001187,0.6579,1.2564,1.15e-05
196,0.001071,0.001219,0.6755,1.2769,1.10e-05
197,0.001084,0.001120,0.6187,1.2456,1.05e-05
198,0.001156,0.001115,0.6171,1.2280,1.02e-05
199,0.001125,0.001105,0.6100,1.2404,1.01e-05
200,0.001043,0.001123,0.6210,1.2394,1.00e-05
