epoch,train_loss,val_loss,val_mae_K,val_rmse_K,lr
1,0.022463,0.024846,9.6810,12.4503,1.00e-03
2,0.008519,0.007591,3.7709,4.8433,1.00e-03
3,0.006599,0.022480,9.2565,11.2544,9.99e-04
4,0.005946,0.009049,4.2592,5.9108,9.99e-04
5,0.005505,0.004739,2.4603,3.3816,9.98e-04
6,0.005260,0.005138,2.7015,3.3794,9.98e-04
7,0.004800,0.012515,5.9204,6.8903,9.97e-04
8,0.005475,0.016367,7.3490,8.6010,9.96e-04
9,0.004933,0.004134,2.1526,3.1260,9.95e-04
10,0.004675,0.007391,3.6917,4.7080,9.94e-04
11,0.004902,0.005043,2.5955,3.5838,9.93e-04
12,0.004863,0.015762,7.2553,8.1250,9.91e-04
13,0.004436,0.006059,2.8740,4.7587,9.90e-04
14,0.004161,0.007825,3.7187,5.3881,9.88e-04
15,0.004125,0.012465,5.9425,6.7837,9.86e-04
16,0.004627,0.005736,2.9714,3.7529,9.84e-04
17,0.004373,0.005068,2.6382,3.4694,9.82e-04
18,0.004077,0.010964,5.0508,6.7535,9.80e-04
19,0.004062,0.004594,2.4139,3.2031,9.78e-04
20,0.004166,0.007209,3.6682,4.4350,9.76e-04
21,0.004442,0.003822,1.9949,2.9782,9.73e-04
22,0.004288,0.008357,4.0923,5.2434,9.71e-04
23,0.004354,0.011086,5.1822,6.6293,9.68e-04
24,0.004053,0.006986,3.4691,4.6300,9.65e-04
25,0.004228,0.003985,2.1311,2.7890,9.62e-04
26,0.003928,0.003235,1.7479,2.3988,9.59e-04
27,0.003799,0.005195,2.7503,3.3084,9.56e-04
28,0.003950,0.004921,2.5356,3.5198,9.53e-04
29,0.003653,0.003934,2.1076,2.7426,9.50e-04
30,0.003750,0.004701,2.4193,3.4512,9.46e-04
31,0.003472,0.002565,1.3867,2.1227,9.42e-04
32,0.003802,0.004049,2.1729,2.7692,9.39e-04
33,0.003862,0.008491,4.1206,5.3743,9.35e-04
34,0.003768,0.005104,2.6720,3.4142,9.31e-04
35,0.003552,0.003483,1.8434,2.7104,9.27e-04
36,0.003865,0.002760,1.5279,1.9562,9.23e-04
37,0.003535,0.010292,5.0010,5.9208,9.19e-04
38,0.003444,0.010734,5.2232,6.0339,9.14e-04
39,0.003572,0.004531,2.4007,3.0822,9.10e-04
40,0.003386,0.002890,1.5100,2.5713,9.05e-04
41,0.003389,0.004957,2.5776,3.4333,9.01e-04
42,0.003455,0.009777,4.7975,5.6526,8.96e-04
43,0.003193,0.003653,1.9572,2.6452,8.91e-04
44,0.003508,0.006658,3.4716,3.9603,8.86e-04
45,0.003331,0.002967,1.6413,2.0392,8.81e-04
46,0.003166,0.005012,2.6548,3.2446,8.76e-04
47,0.003547,0.003669,1.9612,2.6785,8.71e-04
48,0.003359,0.003568,1.9133,2.5971,8.66e-04
49,0.003394,0.008175,4.1042,4.8933,8.60e-04
50,0.003085,0.003176,1.7373,2.2413,8.55e-04
51,0.003034,0.004823,2.5392,3.2572,8.49e-04
52,0.003166,0.004678,2.4940,3.0574,8.44e-04
53,0.003185,0.002836,1.5653,2.0160,8.38e-04
54,0.003111,0.002619,1.4430,1.9557,8.32e-04
55,0.002948,0.007050,3.4770,4.7290,8.26e-04
56,0.002870,0.004094,2.1794,2.8612,8.21e-04
57,0.003263,0.004186,2.2729,2.6742,8.14e-04
58,0.003038,0.005338,2.7908,3.4905,8.08e-04
59,0.002661,0.002415,1.3524,1.6998,8.02e-04
60,0.002991,0.003803,2.0651,2.5448,7.96e-04
61,0.002839,0.005189,2.6671,3.6515,7.90e-04
62,0.002839,0.003281,1.7793,2.3749,7.83e-04
63,0.003073,0.004705,2.4956,3.1229,7.77e-04
64,0.002521,0.003798,2.0693,2.5029,7.70e-04
65,0.002985,0.004013,2.1594,2.7274,7.64e-04
66,0.003012,0.003951,2.0849,2.9093,7.57e-04
67,0.002757,0.001936,1.0922,1.4383,7.50e-04
68,0.002743,0.003144,1.6960,2.3788,7.43e-04
69,0.002674,0.003442,1.8947,2.2550,7.37e-04
70,0.002632,0.004991,2.6629,3.1445,7.30e-04
71,0.002585,0.002288,1.2773,1.6863,7.23e-04
72,0.002607,0.004679,2.4848,3.1032,7.16e-04
73,0.002801,0.002898,1.5910,2.0985,7.09e-04
74,0.002691,0.004135,2.2212,2.7812,7.02e-04
75,0.002456,0.004243,2.3027,2.6962,6.94e-04
76,0.002415,0.002752,1.5260,1.9368,6.87e-04
77,0.002737,0.002201,1.2263,1.6769,6.80e-04
78,0.002790,0.002278,1.2662,1.7367,6.73e-04
79,0.002437,0.002351,1.2882,1.9081,6.65e-04
80,0.002591,0.002997,1.6407,2.1689,6.58e-04
81,0.002480,0.004733,2.5336,3.0228,6.51e-04
82,0.002606,0.003328,1.8351,2.1979,6.43e-04
83,0.002405,0.004663,2.4572,3.1896,6.36e-04
84,0.002216,0.001699,0.9610,1.3177,6.28e-04
85,0.002563,0.002412,1.3374,1.8111,6.21e-04
86,0.002393,0.004631,2.4966,2.9039,6.13e-04
87,0.002296,0.001614,0.8983,1.4247,6.05e-04
88,0.002208,0.006504,3.2560,4.3881,5.98e-04
89,0.002334,0.002243,1.2616,1.5849,5.90e-04
90,0.002296,0.004393,2.3730,2.8021,5.82e-04
91,0.002451,0.004325,2.3167,2.8827,5.75e-04
92,0.002328,0.001976,1.1005,1.5836,5.67e-04
93,0.002262,0.003934,2.1171,2.6947,5.59e-04
94,0.002129,0.005082,2.7363,3.0612,5.52e-04
95,0.001992,0.002552,1.4218,1.8019,5.44e-04
96,0.002111,0.002616,1.4504,1.8890,5.36e-04
97,0.001897,0.001506,0.8433,1.3280,5.28e-04
98,0.002012,0.001636,0.9255,1.2947,5.21e-04
99,0.002030,0.002908,1.6125,1.9856,5.13e-04
100,0.002092,0.001233,0.7032,1.0371,5.05e-04
101,0.002123,0.001983,1.1181,1.4654,4.97e-04
102,0.001865,0.001444,0.8163,1.2134,4.89e-04
103,0.001941,0.002170,1.2176,1.5877,4.82e-04
104,0.001923,0.002342,1.2921,1.8319,4.74e-04
105,0.001892,0.001743,0.9936,1.2485,4.66e-04
106,0.001841,0.001904,1.0755,1.4119,4.58e-04
107,0.001903,0.002110,1.1865,1.5423,4.51e-04
108,0.001876,0.001461,0.8231,1.2525,4.43e-04
109,0.001841,0.002682,1.4934,1.8587,4.35e-04
110,0.001794,0.001535,0.8717,1.2084,4.28e-04
111,0.001857,0.002411,1.3513,1.6879,4.20e-04
112,0.001764,0.003719,2.0155,2.5392,4.12e-04
113,0.001797,0.002470,1.3768,1.7721,4.05e-04
114,0.001899,0.001726,0.9715,1.3767,3.97e-04
115,0.001656,0.001151,0.6578,0.9782,3.89e-04
116,0.001692,0.002265,1.2564,1.7443,3.82e-04
117,0.001731,0.001088,0.6207,0.9708,3.74e-04
118,0.001607,0.001301,0.7426,1.0536,3.67e-04
119,0.001639,0.001206,0.6902,0.9917,3.59e-04
120,0.001563,0.001655,0.9410,1.2458,3.52e-04
121,0.001524,0.001839,1.0471,1.2951,3.45e-04
122,0.001559,0.001083,0.6198,0.9379,3.37e-04
123,0.001552,0.001323,0.7526,1.0969,3.30e-04
124,0.001499,0.001303,0.7460,1.0304,3.23e-04
125,0.001596,0.001165,0.6682,0.9498,3.16e-04
126,0.001418,0.001859,1.0457,1.4374,3.08e-04
127,0.001445,0.001843,1.0373,1.4280,3.01e-04
128,0.001429,0.003269,1.7856,2.2836,2.94e-04
129,0.001455,0.001256,0.7182,1.0205,2.87e-04
130,0.001448,0.001383,0.7908,1.0806,2.80e-04
131,0.001403,0.001484,0.8474,1.1277,2.73e-04
132,0.001330,0.001101,0.6337,0.8932,2.67e-04
