Setting,Model,MAE (K)
Noise 1%,MLP,7.06300687789917
Noise 1%,U-Net,0.9833810925483704
Noise 1%,Tiny ViT,0.6553938984870911
Noise 1%,FNO-lite,3.295030117034912
Noise 3%,MLP,7.063014030456543
Noise 3%,U-Net,2.265775442123413
Noise 3%,Tiny ViT,1.662540316581726
Noise 3%,FNO-lite,3.6800575256347656
Noise 5%,MLP,7.0630316734313965
Noise 5%,U-Net,3.6755025386810303
Noise 5%,Tiny ViT,2.9324841499328613
Noise 5%,FNO-lite,4.308528423309326
M=8 sensors,MLP,7.065546989440918
M=8 sensors,U-Net,1.1103792190551758
M=8 sensors,Tiny ViT,0.6693238019943237
M=8 sensors,FNO-lite,6.722253799438477
M=12 sensors,MLP,7.063951015472412
M=12 sensors,U-Net,0.7496421337127686
M=12 sensors,Tiny ViT,0.45316022634506226
M=12 sensors,FNO-lite,4.313294410705566
M=16 sensors,MLP,7.063000679016113
M=16 sensors,U-Net,0.5971433520317078
M=16 sensors,Tiny ViT,0.40755602717399597
M=16 sensors,FNO-lite,3.244028091430664
Hard cases,MLP,15.297616958618164
Hard cases,U-Net,1.553830623626709
Hard cases,Tiny ViT,1.1435654163360596
Hard cases,FNO-lite,5.563058376312256
